time,weather_code (wmo code),daylight_duration (s),sunshine_duration (s),uv_index_max (),wind_direction_10m_dominant (°),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²),pressure_msl_mean (hPa),cape_mean (J/kg),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_mean (km/h),temperature_2m_mean (°C),precipitation_sum (mm)
03/02/2023,61,32682.34,13412.51,1.55,266,59.8,25.9,3.02,1027.8,0,81,15.8,37.4,9.9,0.7
04/02/2023,61,32903.54,18523.96,1.65,246,27.7,12.1,3.77,1035.6,0.8,78,8.8,19.3,8.5,0
05/02/2023,3,33125.7,23837.6,1.65,296,29.9,13.8,5.99,1044.8,0,69,5.8,14.1,4.5,0
06/02/2023,2,33348.59,26832.67,1.9,197,15.1,6.9,6.42,1040.7,0,70,3.4,7.6,2.8,0
07/02/2023,45,33572.39,27774.67,1.9,229,14.8,5.7,6.6,1037.9,0,87,3.1,7.3,3.6,0
08/02/2023,45,33799.24,28540.9,1.85,202,38.2,17.3,6.91,1031.6,0,75,9.2,19.6,4.3,0
09/02/2023,61,34029.27,29211.05,1.95,255,37.1,15.6,6.45,1031.1,0,74,9.1,21.8,5.5,0.4
10/02/2023,3,34262.18,0,1.15,225,28.4,13.1,2.92,1033,0,79,8.6,19.2,6.6,0
11/02/2023,45,34497.71,28447.82,2.2,272,29.5,12.9,6.16,1034.6,0,79,7.3,18,8.6,0
12/02/2023,45,34735.6,29437.65,2.2,186,20.5,8.8,6.41,1036.7,0,79,4.3,9.9,6.5,0
13/02/2023,3,34975.59,28754.05,2.25,179,27,11.7,6.75,1033.1,0,82,6.4,14.5,6.1,0
14/02/2023,2,35217.43,30795.26,2.2,173,19.1,8.3,7.68,1029.2,0,85,4.6,10.1,4.9,0
15/02/2023,3,35460.88,29558.9,2.25,206,43.6,17.6,6.99,1020.6,0,83,8.9,19.9,6.1,0
16/02/2023,80,35705.7,3074.68,1.3,225,43.6,19.4,3.3,1015.9,0,83,13.5,30.6,9.3,1
17/02/2023,80,35951.68,25629.74,2,251,94.7,41.4,5.47,1015.4,0.4,77,17,41.9,11.5,0.1
18/02/2023,80,36198.58,6928.23,1.8,258,70.9,32,4.28,1016.1,3.8,75,17.3,41.3,11.3,0.7
19/02/2023,3,36446.19,30569.3,2.35,262,42.1,17.7,6.7,1023.3,0,73,13.1,31.1,8.7,0
20/02/2023,3,36694.29,601.48,1.2,247,54.7,24.7,2.5,1019.3,0,80,14.8,35.1,11.2,0
21/02/2023,3,36942.7,3100.17,1.95,217,26.3,11.7,4.02,1015.6,0,82,7.8,17.7,9.4,0
22/02/2023,61,37191.19,18797.51,2.45,305,37.1,15.7,5.92,1011.2,0.8,77,10.2,24,7.2,0.8
23/02/2023,80,37439.58,32164.8,2.5,338,35.6,15.9,8.32,1020.4,0.4,70,10.9,25.8,5.3,0.3
24/02/2023,61,37687.67,17815.23,1.8,325,48.6,21,5.36,1014,2.5,73,15.2,35.5,7.1,0.1
25/02/2023,3,37935.27,27015.63,1.85,0,42.5,18.6,5.95,1020.3,2.5,74,13,30.2,4,0
26/02/2023,3,38182.2,32626.73,2.05,18,36,14,7.7,1030,1.2,75,8.9,20.7,4.1,0
27/02/2023,61,38428.63,8880.95,2,11,29.2,11.3,4.48,1034.7,3.3,85,7.7,18.8,4.8,0.5
28/02/2023,61,38676.59,267.88,0.9,6,39.2,16.3,3.05,1035.5,2.9,86,11.7,27.6,5.8,0.8
01/03/2023,61,38926.25,2899.19,0.85,14,42.5,18.2,3.66,1032,4.6,84,12.6,30.6,5.3,0.8
02/03/2023,61,39177.42,25189.6,2.5,30,23.8,10,7.19,1028.5,4.2,78,5.8,14.6,4.8,0.1
03/03/2023,3,39429.92,28011.44,2.5,9,28.1,12,7.68,1030.9,0,72,6.6,15.4,5,0
04/03/2023,3,39683.57,29793.24,2.9,330,22.3,10.3,7.61,1030.4,0.4,66,6.3,15.2,4.3,0
05/03/2023,61,39938.19,773.33,2.05,279,27,11.9,4.21,1018.4,0,69,6,14.9,3.2,0
06/03/2023,61,40193.62,1864.39,1.4,272,38.9,17.6,5.98,1003.5,0.4,78,9.4,21.5,4.6,2
07/03/2023,61,40449.67,36182.56,3.1,316,27.7,9.9,11.65,999.6,2.9,61,6.1,15.9,2.6,0.8
08/03/2023,71,40706.19,698.69,1.75,49,38.9,13.5,5.43,994.7,0,79,6.6,16.3,0,2
09/03/2023,77,40963.01,0,0.9,48,27,12,2.25,994.2,0,96,8.1,19,0.2,20.1
10/03/2023,77,41219.97,27781.85,3.95,354,46.4,19.8,9.96,1001.1,0.4,78,12.7,29.8,1.2,14
11/03/2023,61,41476.9,21600,3.65,175,22.7,10.1,9.96,1008.6,0,76,5.6,13.6,0.2,4.6
12/03/2023,80,41733.65,17091.25,3.35,198,35.3,15.9,8.61,1000.6,0,84,12.2,27.9,7.3,4.5
13/03/2023,81,41990.06,33922.73,0.85,222,80.3,38,9.41,982.1,1.7,78,25.5,59.6,10.5,19.7
14/03/2023,61,42245.97,36145.59,3.55,295,52.9,22.7,12.46,1002.1,1.2,74,12.5,32.6,3.7,4.5
15/03/2023,61,42501.21,21256.54,2.4,187,33.1,14.8,8.99,1013,0.4,83,8.4,18.8,2.8,4
16/03/2023,80,42755.64,0,0.9,196,55.1,24,3.21,1001.6,0,87,17.3,39.3,9.6,5.6
17/03/2023,3,43009.1,25462,3.65,198,36,16.1,9.78,1001.3,17.5,81,10,24.5,11.1,0
18/03/2023,80,43261.42,16355.58,3.35,232,34.9,16.1,6.87,1004.6,21.2,82,7.8,18.3,10.9,4
19/03/2023,3,43512.77,29820.74,3.7,276,45.4,21.2,11.94,1013.7,1.7,68,10.9,25.7,8.1,0
20/03/2023,80,43764.99,0,2.55,205,31.3,13.9,4.21,1012.4,0,82,10.4,24.7,10.9,1.7
21/03/2023,80,44018.25,28800,3.95,209,48.6,23,11,1003.7,5,76,16.8,37.4,11.4,3.1
22/03/2023,80,44272.42,38918.77,4.1,211,57.2,25.7,14.62,993.6,3.8,66,21.8,49,11.2,1.6
23/03/2023,61,44527.35,37074.33,4.1,215,67.3,29.7,14,991.3,7.1,71,22.7,51.5,10,0.3
24/03/2023,3,44782.89,39772.42,4.2,223,67.3,29.3,14.32,991.1,1.2,69,25,55.3,9.5,0
25/03/2023,80,45038.9,34856.54,3.4,264,66.2,30.6,12.01,998.8,1.7,71,17.2,41.3,9,0.6
26/03/2023,80,45295.24,606.03,3.1,25,34.6,14.4,4.8,1010.4,0,78,9.8,23.7,5.6,0.1
27/03/2023,3,45551.76,37016.93,3.55,233,25.9,10,13.37,1024.4,0.4,62,4.3,11.1,5,0
28/03/2023,80,45808.32,124.46,0.65,187,44.6,20.5,3.66,1014.9,0,82,11.4,26.2,6.3,6.4
29/03/2023,80,46064.77,1900.29,1.65,189,43.2,17.7,4.21,1004.2,4.6,87,12.4,30,10.9,2.2
30/03/2023,80,46320.96,39600,3.35,224,46.4,20.1,11.71,998.1,18.3,75,14.5,35.3,12.1,2.3
31/03/2023,80,46576.75,0,0.85,35,36,16.4,3.6,989.7,2.1,86,12.7,29.5,9.6,5.2
01/04/2023,61,46831.98,4387.48,1.5,357,34.9,14,6.13,1008.7,2.5,79,11.5,27,7.7,0.2
02/04/2023,61,47086.49,32839.66,4.65,38,26.3,11.2,13.55,1027.9,6.7,70,8.3,20.7,7.2,0
03/04/2023,2,47340.13,41845.66,4.7,122,23.8,9.7,17.57,1031.4,2.5,70,5.3,13.1,6.2,0
04/04/2023,3,47592.74,42806.82,4.75,191,27.4,11.4,19.48,1026.8,0.4,61,6.2,14.6,6.9,0
05/04/2023,63,47844.16,541.56,0.65,194,28.1,12.7,5.5,1017.8,0,80,9,20,8.2,12.2
06/04/2023,61,48094.22,27503.3,4.7,287,46.1,20.8,13.84,1012.5,0.4,72,13.8,30.8,10,7.2
07/04/2023,2,48342.75,43341.06,4.9,334,26.3,11.9,20.03,1021,2.5,56,5.6,14.6,9.4,0
08/04/2023,45,48589.89,37392.94,4.45,146,24.5,10.5,17.56,1025.6,2.5,70,4.9,13.1,9.2,0
09/04/2023,61,48837.4,23818.64,5,166,36.7,14.9,13.44,1019.9,1.2,72,8.9,20.4,9.5,0.1
10/04/2023,95,49085.47,25947,4.6,227,56.9,25.3,12.78,1005.3,22.9,76,16.2,39,10.1,4.8
11/04/2023,80,49333.94,25278.22,4.55,216,61.6,27.4,13.36,1002.7,2.9,68,19.6,45.3,8.4,5.3
12/04/2023,80,49582.66,32549.44,3.75,217,64.1,27.4,12.64,987.6,5,70,20.1,46.8,6.4,1.6
13/04/2023,80,49831.5,33565.42,4.8,267,54.4,23.8,15.62,997.2,1.2,67,18.5,42.6,8.1,0.5
14/04/2023,63,50080.29,912.72,1.75,169,27.4,12.1,6.33,1004.9,0.4,80,6.1,14.8,5.9,13.7
15/04/2023,80,50328.86,32141.52,3.1,334,22.3,9.7,12.11,1019.3,0.8,74,5.3,13.4,8.9,0
16/04/2023,61,50577.07,5682.58,1.9,202,24.1,10.6,6.78,1025.2,0,79,4.9,11.7,9.8,0
17/04/2023,61,50824.75,34396.28,2.95,79,25.9,11,12.77,1028.9,2.1,76,5.8,14.5,11.4,0
18/04/2023,3,51071.73,43830.03,5.4,54,43.2,19.1,21.21,1031.4,3.8,68,12.7,29.9,9.7,0
19/04/2023,3,51317.82,29808.63,4.25,52,45.7,20.5,16.38,1029.5,4.2,70,12.7,29.3,9.3,0
20/04/2023,61,51562.86,44833.87,5.6,33,49,21.9,22.07,1025.3,6.2,66,13.7,31.6,8.7,0
21/04/2023,80,51806.66,11192.27,2.65,41,43.6,19.5,6.57,1015,3.8,81,13.5,33.3,9.1,4.3
22/04/2023,80,52049.03,30900.41,4.05,228,32.4,13.6,14.23,1004.3,2.9,66,8.2,20.2,10.4,1
23/04/2023,80,52289.76,9165.29,2.65,9,30.6,13,6.77,1001.6,9.2,76,8.5,20.5,9.3,7
24/04/2023,61,52528.67,25639.06,3,357,44.6,15.8,12.64,1011.2,0.8,63,10.7,28.1,6.7,0.1
25/04/2023,3,52765.54,41188.44,5.8,347,25.6,9.7,21.47,1018.5,5.4,53,6.6,17,6.5,0
26/04/2023,3,53000.14,24424.28,4.9,167,31,10.6,13.97,1018.2,5,62,4.2,12.2,7.6,0
27/04/2023,61,53232.27,13983.12,4.35,139,33.8,14.6,10.71,1015.1,0,74,7.6,18,7.9,5
28/04/2023,61,53462.02,22407.3,2.6,355,29.9,11.5,10.92,1012,0.4,82,6,15.6,9.7,1.3
29/04/2023,95,53691.11,29410.07,4.8,171,25.6,10.4,13.19,1019.8,30.8,83,4.2,11.5,11.8,6.8
30/04/2023,61,53919.7,5811.92,3.45,199,37.8,17.1,10.03,1018.9,1.7,79,9.8,22.8,12.4,1.4
01/05/2023,80,54147.62,35918.64,5,317,35.3,15.6,14.71,1017.6,5.8,70,9.4,22,13,2.8
02/05/2023,3,54374.67,24976.96,4.25,125,27.7,11.2,13.79,1026.9,0.4,69,7.1,17.8,10.6,0
03/05/2023,3,54600.68,46493.26,5.3,107,33.8,14.8,21.09,1027.1,2.5,69,9.1,21.2,10,0
04/05/2023,80,54825.46,18362.94,5.25,66,42.1,18.8,15.52,1017.9,2.1,78,11.5,27.3,10.1,0.9
05/05/2023,80,55048.81,16635.43,5.15,190,39.6,13.4,12.52,1011.9,25.8,79,5.8,17,13.1,4.5
06/05/2023,80,55270.52,4660.49,5.55,154,31.3,12.1,8.77,1012.7,14.6,85,6.1,15.3,13.2,3.8
07/05/2023,45,55490.39,47259.92,6.05,258,25.9,11.4,16.38,1015.7,10.4,70,5.3,13.8,16.2,0
08/05/2023,61,55708.2,0,1.45,196,40,16.1,5.69,1015.6,14.2,82,10.6,24.9,13.6,4.9
09/05/2023,3,55923.71,36750.78,5,280,29.2,12.9,17.31,1009.5,31.7,68,8.8,21.4,15,0
10/05/2023,80,56136.72,23290.93,5.45,252,31.3,12.2,11.12,1011.1,15,73,7.3,19,12.7,7.5
11/05/2023,80,56346.97,11460.14,5.5,53,24.1,10.2,8.22,1016.3,15.4,77,4.5,12.3,12.5,9.5
12/05/2023,3,56554.21,2676.7,3.45,17,41.8,17.6,9.17,1026.7,1.7,82,14.2,32.4,10.8,0
13/05/2023,3,56758.21,45186.16,6.4,26,27,11.7,22.58,1027.7,0,75,7.5,19.2,11.4,0
14/05/2023,80,56958.69,34944.04,5.75,272,34.9,14.8,18.94,1019.6,8.3,72,7.8,19.3,13.5,0.1
15/05/2023,3,57155.39,47275.71,6.25,318,41,17,22.93,1021,9.2,54,14.2,34,11.7,0
16/05/2023,3,57348.03,50599.55,6.35,304,40.7,17.9,20.56,1024.7,6.7,62,12.4,29.2,12.2,0
17/05/2023,80,57536.34,24562.02,4.7,300,24.8,9.7,12.35,1028.1,7.9,61,5.4,15,13.4,0.2
18/05/2023,3,57720.31,27524.17,5.6,258,24.8,10.6,14.32,1027.5,5.8,55,5.6,13.9,15.2,0
19/05/2023,80,57901.44,18733.65,5.6,36,29.5,12.2,10.7,1028,12.9,66,5.6,15.5,13.9,2.3
20/05/2023,45,58079.81,50668.56,6.45,47,34.2,13.4,26.38,1028.1,4.6,64,7.7,19.3,13.1,0
21/05/2023,3,58255.25,51793.39,6.55,30,33.8,14.7,27.74,1024.1,4.6,54,7,17.7,14.4,0
22/05/2023,3,58427.54,44220.66,6.6,2,33.8,13.6,24.13,1023.3,3.3,47,9.8,23.8,15.7,0
23/05/2023,3,58596.49,38379.6,3.8,316,32.4,14.5,18.66,1026.8,2.9,56,6.7,18,14.6,0
24/05/2023,3,58761.88,51892.28,6.45,320,28.8,11.9,27.86,1026.2,3.3,60,9,22,15.7,0
25/05/2023,3,58923.52,33375.35,6.05,109,23.8,9.6,21.44,1030.6,3.8,60,6.3,16,15.5,0
26/05/2023,3,59081.19,52458.56,6.2,158,29.2,12.8,25.83,1031.9,4.6,54,7.5,19.5,15.8,0
27/05/2023,3,59234.66,51855.27,6.7,256,34.2,13.2,27.96,1026.8,5.8,52,6.4,17.3,16.8,0
28/05/2023,3,59383.73,31373.68,4.35,35,34.6,14.9,13.62,1026.1,3.3,67,10.1,24.6,14.4,0
29/05/2023,3,59528.14,50671.55,5.85,47,32,13.2,25.71,1030.6,3.8,62,8.9,21.7,12.5,0
30/05/2023,3,59667.68,41562.18,4.85,35,31.7,13.6,17.94,1032.2,3.8,72,9.9,23,12.3,0
31/05/2023,3,59802.11,17765.95,6.7,44,29.2,12.5,12.98,1030.1,0.8,78,11.4,26.9,11.7,0
01/06/2023,3,59931.21,22612.98,6,33,33.5,14.7,15.24,1028,3.3,74,11.4,26.6,12.2,0
02/06/2023,3,60054.74,52972.06,6.75,43,32.4,13.9,27.28,1026.9,4.2,59,11.6,27.6,13.1,0
03/06/2023,3,60172.44,51699.39,6.7,46,29.5,12.7,28.14,1026.2,2.9,60,8.8,21.6,13.6,0
04/06/2023,3,60284.1,44907.23,6.7,47,34.9,14,25.65,1026.7,2.9,69,8.5,20.6,13.3,0
05/06/2023,3,60389.46,48704.19,6.7,50,31,13.4,24.64,1026.5,4.6,66,9.9,23.8,13.4,0
06/06/2023,3,60488.28,32906.15,6.35,49,30.2,12.4,16.93,1026,4.6,71,9.3,22.7,12.2,0
07/06/2023,3,60580.5,25486.28,6.7,63,31.7,12.2,16.76,1024.5,3.8,71,9.7,23.6,12.1,0
08/06/2023,3,60666.84,37631.74,6.8,64,33.1,14.7,21.91,1021.5,2.9,70,11,25.8,12.5,0
09/06/2023,3,60747.38,48082.81,6.85,49,34.6,14.8,26.61,1018.3,2.5,68,11.8,27.4,13.9,0
10/06/2023,3,60822.03,50611.34,6.85,44,37.8,16.9,26.7,1016.1,51.7,65,10.8,25.8,18.6,0
11/06/2023,3,60890.7,42355.64,6.9,32,49,10.6,24.54,1015.6,112.5,61,6.7,19.5,20.9,0
12/06/2023,80,60953.31,45409.8,6.85,49,45.7,20,24.6,1015.7,146.7,63,7.8,20.4,22,0.1
13/06/2023,3,61009.78,55867.78,6.9,61,39.6,16.9,28.95,1017.3,7.9,51,9.8,23.6,21.3,0
14/06/2023,0,61060.05,55910.66,6.9,53,36,15.7,30.14,1020.2,5,54,10.4,24.6,18.4,0
15/06/2023,45,61104.04,50006.02,6.75,68,33.1,13.7,25.87,1021.8,4.2,61,7.1,19.1,19,0
16/06/2023,3,61141.71,51166.56,6.8,120,34.9,13.1,28.64,1019.7,7.9,46,6,16.5,20.3,0
17/06/2023,61,61172.97,16038.89,4.85,106,27.7,9.3,12.87,1015.2,0.4,52,4.7,12.6,17.8,0.4
18/06/2023,96,61197.77,21419.88,6,64,28.8,9.9,15.32,1009.5,50.8,72,5.6,17,17.7,23.4
19/06/2023,80,61216.09,56043.03,6.85,227,40,17.1,23.75,1008.1,41.2,62,11,27,20,1.1
20/06/2023,80,61227.86,3370.26,3.3,293,26.6,11.8,5.78,1008,20,78,5.4,14,17.3,7.4
21/06/2023,95,61233.05,44019.05,6.85,241,40,14.8,19.93,1014.2,68.8,70,8.2,21.3,18.8,2.6
22/06/2023,80,61231.62,47172.51,6.75,310,28.4,10.6,17.82,1019.6,54.2,69,4,13,19.3,1
23/06/2023,61,61223.57,20744.76,5.25,217,38.2,17.2,15.77,1021.9,5.4,70,8.1,19.6,19,0
24/06/2023,3,61208.85,50161.82,5.1,219,33.8,15.5,18.73,1020.4,64.2,67,10.2,23.8,22.2,0
25/06/2023,3,61187.45,56016.87,6.9,217,52.2,22.9,25.42,1012.5,94.6,65,13.1,30.3,21.8,0
26/06/2023,3,61159.39,55992.54,6.65,266,49.3,21.1,27.68,1017.4,16.2,59,14.2,33.4,17.3,0
27/06/2023,61,61124.56,2365.72,1.9,218,36.7,16.8,5.78,1018.3,0,76,9.2,21.4,16.5,1.1
28/06/2023,80,61082.62,9157.81,6.75,243,40.7,17.7,8.79,1014.9,2.9,77,11.1,26.6,19.3,0.3
29/06/2023,3,61033.62,53770.26,6.65,294,35.6,15.2,26.66,1016.1,7.5,53,10.7,25.7,17,0
30/06/2023,3,60977.75,0,1.95,210,39.2,17.3,4.45,1008.4,0.4,76,11.4,26.2,15.1,0
01/07/2023,3,60915.16,42862.05,6.9,275,53.6,24,23.07,1004,10.8,65,17,39.9,16.9,0
02/07/2023,80,60846.01,51334.03,6.05,259,51.1,21.8,21.19,1008.5,16.2,60,15,34.3,15,0.5
03/07/2023,80,60770.49,41249.18,5.55,253,46.1,19.9,17.43,1007.2,11.7,66,13.8,32.3,13.8,0.7
04/07/2023,95,60688.77,44977.55,5,232,38.5,16.3,21.17,1007.5,37.1,66,11.6,28,14.5,4.9
05/07/2023,3,60601.02,50537.83,6.1,271,40,17.6,22.05,1009,11.2,65,11.5,26.6,15,0
06/07/2023,3,60507.41,44951.3,6.05,212,42.1,18.2,18.71,1012.9,10.4,61,13,29.8,16.9,0
07/07/2023,2,60408.15,54779.52,6.75,178,34.2,15,28.19,1014.3,5.8,52,12.1,28.6,20.5,0
08/07/2023,96,60303.4,12635.2,4.8,122,50.4,11.8,9.51,1014.8,147.9,75,6.7,22.1,19.5,50.3
09/07/2023,80,60193.35,39026.38,6.3,207,36.7,15.6,16.61,1017.2,70,71,8.9,22,18.7,0.2
10/07/2023,61,60078.17,18956.83,5.25,195,48.2,18.5,14.02,1015.8,10.4,71,12.3,29,17.1,0.6
11/07/2023,95,59958.06,14832.43,5.5,225,46.4,17.8,13.02,1006.5,94.2,76,11.3,30.3,17.1,6
12/07/2023,80,59833.2,51030.66,5.75,249,45.4,20.6,18.99,1008.4,14.6,69,12.8,30,16.1,1
13/07/2023,95,59703.75,53577.39,6.65,255,32,13.7,20.75,1013.6,31.7,64,9.1,22,17.1,2
14/07/2023,95,59569.91,3847.06,2.25,159,38.9,17.8,5.67,1005.9,12.1,83,11.1,26.1,15.3,7.7
15/07/2023,95,59431.85,39218.27,6.4,200,61.9,25.3,15.31,994.7,85.8,76,18.9,46,16.3,9.4
16/07/2023,80,59289.73,33923.52,6.45,240,55.1,25,17.17,1004.2,41.2,69,17.3,41.7,16.2,2.4
17/07/2023,80,59143.5,49558.46,6.5,251,37.4,15.9,19.9,1015.1,19.2,67,9.9,24.2,15.7,1.1
18/07/2023,80,58991.86,6074.91,2.55,201,29.9,10.9,8.74,1017,1.7,79,6.1,15.2,14.3,6.8
19/07/2023,3,58834.87,37467.66,6.1,315,31.7,12.6,15.86,1014.7,38.8,72,7,18.5,16.2,0
20/07/2023,3,58672.79,39690.86,6.45,283,32.4,13.8,20.27,1015.1,26.2,62,9.1,21.5,15.6,0
21/07/2023,80,58505.93,26719.22,6.05,279,35.3,16,12.93,1012.7,10.8,70,9.7,23.5,14.6,3.3
22/07/2023,95,58334.54,0,1.6,196,43.2,18.9,3.03,1005.6,0.8,85,11.8,28.5,15,5.6
23/07/2023,61,58158.89,0,5.55,286,39.6,16.9,3.06,1000.4,2.1,83,9.9,25.4,16.3,7.1
24/07/2023,80,57979.28,30469.19,4,5,33.1,14.8,14.63,1007.4,9.2,69,9.8,25,14.5,11.8
25/07/2023,3,57795.91,42959.96,5.7,292,36.4,15.1,16.36,1009.9,16.2,63,9.9,24,15,0
26/07/2023,61,57609.09,30690.81,6.25,206,36.7,16.3,16.56,1008.9,6.7,66,9.8,23.4,16.3,2.6
27/07/2023,80,57419.04,30255.73,4.75,259,39.2,15.9,15.23,1000.7,9.2,77,9.9,24.1,18.9,1.5
28/07/2023,3,57225.98,40102,5.45,223,37.8,16.1,17.79,1003.4,7.1,70,10.3,24,18.7,0
29/07/2023,3,57030.18,51410.44,6.15,232,48.2,21.6,21.8,1002.9,18.3,63,15.4,35.1,17.8,0
30/07/2023,61,56831.84,28159.82,5.25,234,45.4,19.9,13.5,1006,3.3,70,14.4,33.5,16.2,1.3
31/07/2023,80,56631.2,3179.44,3,239,45,19.5,7.3,1000.4,5.8,79,15.7,36.6,17,1.8
01/08/2023,3,56428.46,12052.56,3.7,264,43.9,20.6,10.62,998.6,4.2,73,11.6,27.6,16.4,0
02/08/2023,81,56223.84,0,2.45,8,40,17,3.63,988.3,3.3,86,10.1,24.2,14.8,11.1
03/08/2023,80,56017.53,44706.86,5.5,326,36,15.6,16.13,1005,32.1,70,11.5,28.4,16.6,6
04/08/2023,81,55809.73,25007.45,5.35,293,33.1,14.7,12.55,1016.3,16.7,73,7.8,20.1,15.8,8.1
05/08/2023,80,55600.64,41.29,3,15,40,15.5,6.1,1009.9,9.6,80,8.5,20.8,12.9,13.3
06/08/2023,80,55390.11,35564.38,5.35,314,36.4,16.1,14.46,1016.4,20.8,69,10.9,26.7,14.3,0.8
07/08/2023,3,55176.52,50095.73,6,281,39.6,17.4,20.92,1017.6,6.2,65,11.7,26.7,15.4,0
08/08/2023,3,54959.79,40458,5,277,36.4,15.5,15.89,1013.3,2.9,63,11.1,25.6,15.9,0
09/08/2023,3,54740.16,47549.16,5.8,267,28.4,11.9,19.7,1016.8,2.1,67,7.8,18.9,17.8,0
10/08/2023,3,54517.89,45830.86,5.85,185,33.5,14.1,21.72,1017.2,9.6,67,7.7,18.7,22.2,0
11/08/2023,3,54293.2,49504.43,5.45,219,42.5,18.6,19.64,1014.2,10,62,14.2,32.3,20.5,0
12/08/2023,3,54066.31,45179.54,5.45,215,57.2,25.7,16.67,1010.1,15,72,17.8,40.8,17.8,0
13/08/2023,61,53837.44,34851.01,5.15,222,44.3,18.9,16.4,1010.2,11.7,68,14.5,33.8,17.5,0.1
14/08/2023,95,53606.81,21037.54,4.55,202,47.2,20,8.24,1007.2,56.2,81,13.5,32.5,17.4,3.5
15/08/2023,3,53374.62,49032.62,5.85,268,33.5,14,19.08,1014.5,13.8,68,9,22.1,17.6,0
16/08/2023,3,53141.06,44459.3,5.4,38,18.7,8.7,15.95,1021.4,19.2,69,3.6,9.6,17.4,0
17/08/2023,3,52906.34,38831.65,5.85,83,41.8,17.8,16.38,1021.8,25.4,74,10.2,24.9,17.6,0
18/08/2023,80,52670.63,3561.05,3.2,83,36,15,6.62,1015,2.5,84,10.1,24.4,16.8,4.7
19/08/2023,61,52434.12,46566.55,4.55,204,50.8,22.5,17.23,1010.2,11.2,71,16.2,36.7,19.7,2.1
20/08/2023,2,52196.98,47479.29,5.65,220,38.9,17.4,20.36,1019.5,12.5,66,10,23.7,18.8,0
21/08/2023,3,51959.39,44288.56,5.5,210,47.5,19.9,19.3,1020.3,23.3,70,11.6,26.8,18.5,0
22/08/2023,2,51721.5,46675.96,5.65,238,40.7,17.9,18.76,1018,6.7,70,13.9,32.1,18.7,0
23/08/2023,3,51483.48,15242.81,5.55,222,26.3,11,9.35,1018.5,0.4,71,7.2,17,18,0
24/08/2023,61,51245.5,24236.22,5.15,269,32.4,14.4,12.97,1012.1,2.9,73,7.7,19.4,17.3,0.2
25/08/2023,61,51007.7,30324.32,4.7,236,36,12.4,13.37,1008.3,22.5,73,7.5,18.5,14.3,0.7
26/08/2023,96,50769.92,12054.23,5.2,241,27.4,9.2,7.76,1007,60,78,6,16.6,13.9,8.9
27/08/2023,80,50530.49,33582.86,4.95,280,41,18.5,11.56,1009.4,9.6,76,10,23.4,14.1,0
28/08/2023,3,50289.28,36020.22,5.25,292,34.6,14.8,16.13,1013.8,3.8,70,9.3,21.8,15.1,0
29/08/2023,3,50046.47,43293.47,5,259,37.1,15.9,15.53,1010.3,5.4,71,9.3,22,15.1,0
30/08/2023,3,49802.24,43366.24,4.2,296,34.2,14.8,15.51,1007.4,8.8,66,9.4,23,14.4,0
31/08/2023,80,49556.75,32400,5.15,178,31.3,11.6,14.53,1008.8,1.7,75,5.2,14.1,13.7,2.8
01/09/2023,45,49310.18,9266.35,2.35,55,12.2,5.1,4.51,1011.8,16.2,87,3.2,8.5,15.5,0
02/09/2023,45,49062.68,39350.34,5.1,99,14.8,5.8,14.99,1022,5,75,4.2,10.8,17.8,0
03/09/2023,3,48814.4,41084.81,5.2,243,24.1,10,18.53,1026.4,2.1,70,5.2,12.7,18.7,0
04/09/2023,45,48565.5,43442.28,5.15,172,22,9,19.27,1023.5,0.4,70,4,10.1,20.2,0
05/09/2023,45,48316.13,43229.42,5.15,43,33.8,14.8,19.16,1020.1,1.2,69,7.4,17.5,19.4,0
06/09/2023,45,48066.45,34521.61,5.05,65,15.1,5.9,16.24,1019.8,0.8,74,3.8,10.1,20.8,0
07/09/2023,3,47816.58,36509.28,4.8,34,21.2,8.7,14.91,1018.7,0,69,4.9,12.7,21.8,0
08/09/2023,45,47566.68,32699.14,4.45,253,20.2,8.6,12.93,1016.5,145.4,77,3.6,9.6,21,0
09/09/2023,80,47316.87,37686.35,4.85,280,31,8.9,15.25,1015.8,318.3,70,4.4,12.9,24,1.9
10/09/2023,95,47067.3,8765.69,3.1,170,28.1,6.5,5.92,1014.8,205.8,87,2.8,11.2,20.4,3.8
11/09/2023,81,46818.11,25822.32,4.4,241,31.3,13.7,9.25,1011.1,57.1,79,7.2,18.3,19.7,8.2
12/09/2023,63,46569.43,0,0.55,16,34.6,15,1.6,1015.7,3.8,87,10.3,24.2,14.5,20.6
13/09/2023,3,46321.38,40297.26,4.25,17,20.9,9.1,13.21,1022.1,1.7,67,6.6,15.8,14.1,0
14/09/2023,80,46074.11,910.78,4.1,207,32.4,14.7,5.52,1018.5,0.8,78,9.4,22,15.9,1
15/09/2023,3,45827.43,32162.99,4.3,188,23.8,9.7,13.47,1014.8,2.1,76,5.4,14.2,17.6,0
16/09/2023,3,45579.69,1251.19,2.75,7,35.3,14.3,4.88,1016.4,0,87,10.5,25.3,15.3,0
17/09/2023,80,45330.72,11814.68,4.2,78,35.3,14.4,7.87,1012.3,4.6,85,8.9,22.6,16.3,1.6
